sample_id,label,x,y,Kribbella,Streptomyces,Occallatibacter,Bacillus,Rhodoplanes,Genus_001,Genus_002,Genus_003,Genus_004,Genus_005,Genus_006,Genus_007,Genus_008,Genus_009,Genus_010,Genus_011,Genus_012,Genus_013,Genus_014,Genus_015,Genus_016,Genus_017,Genus_018,Genus_019,Genus_020,Genus_021,Genus_022,Genus_023,Genus_024,Genus_025,Genus_026,Genus_027,Genus_028,Genus_029,Genus_030,Genus_031,Genus_032,Genus_033,Genus_034,Genus_035,Genus_036,Genus_037,Genus_038,Genus_039,Genus_040
S0001,Seca,386.97802427798166,232.4867280968265,0.01060363270717016,0.04137218118806521,0.009233675828973414,0.008106088882168103,0.02078397291695459,0.0036170311864839864,0.0035476454464522383,0.004755833940993347,0.05965265425582413,0.024938997335139705,0.022816322925010853,0.009268238066453193,0.03276523484031984,0.003546098596035586,0.008178996887887499,0.02788681003719048,0.01113771927313876,0.030129181489832114,0.013466683946755034,0.010182395095200735,0.005102458093176122,0.002299447615979288,0.13485479632658356,0.004222395340215752,0.05904059179814503,0.012303832536428288,0.020594058337428684,0.026581617118931655,0.02195545815200112,0.01479294036858272,0.0012125531474351152,0.011771799696806631,0.024066454980463215,0.00846064488974156,0.035252375340065596,0.01740610271827245,0.00670261764125442,0.018339252274156413,0.034588362754230766,0.03339838913985204,0.04158229814881059,0.004376442085627629,0.05673740636359506,0.04205430591811665,0.0063140043680506176
S0002,Controle,219.43921987602616,488.9584895369201,0.027447509222760243,0.0010676931390822188,0.00784180160999857,0.039082098715402205,0.028768639532183383,0.02007665268138412,0.009430818405047003,0.014904232871319652,0.00521597547267385,0.025559314664323304,0.025489365935265847,0.01431577083405623,0.026016098853640788,0.013746679175798323,0.006802940233887413,0.02095876711512083,0.022485789946926803,0.053664319043411506,0.0042827827278278515,0.03554972045214804,0.033884913814742006,0.015727733177097657,0.028761071891069138,0.008989393815482053,0.015948683897429504,0.005892834550153268,0.0007945759303092224,0.017623710459776,0.014606741775443995,0.020214589543883325,0.036591074543885854,0.05491403695458764,0.03547834208146096,0.025399055625288557,0.005770210106772614,0.01479538892158888,0.0330120381104615,0.004124282091911379,0.005227971161124569,0.144344101763686,0.019839886820185944,0.011665618440387514,0.02063629439890453,0.0035761445686303753,0.019474334923479268
S0003,Seca,429.2989599556912,205.78800109702993,0.00946034697746137,0.03329455774846668,0.012269518964133738,0.028841557564323758,0.018941206116193852,0.025516430738630583,0.020917295822035407,0.02262604225980703,0.017242822234449773,0.014791859462790734,0.050759246196832725,0.11241961414221956,0.041134180491500374,0.009627710718109243,0.031535159434134985,0.040518400804353476,0.012807233796886962,0.018484113593526582,0.005701640740723585,0.03431269292450612,0.01460674245417161,0.030037585756401912,0.004950225548474466,0.018195876016837382,0.009318231570957987,0.009644092720518714,0.03227110728016615,0.058722130963942694,0.04416329652438117,0.012222601991286572,0.004472933888695543,0.003567054325665583,0.03140952890478929,0.018168349099341695,0.008880065584967458,0.020408712480505627,0.006843293189078615,0.012818131437485801,0.01058957160596003,0.03969797217580639,0.005733604895611282,0.010956468507744952,0.003405931937859489,0.020832722156921963,0.006882138251340952
S0004,Seca,348.684014529682,396.8410752799863,0.0005936998282568552,0.015000239143348578,0.0006079100153999748,0.02364309283032387,0.03572493774754837,0.011144721819362307,0.024109530616440503,0.0005527981201331197,0.02297855351855509,0.022529724613921796,0.0237945736423816,0.020646699676619792,0.01898445883274048,0.01443280705575232,0.0024288354379860023,0.0036040083832503443,0.02956750876820381,0.02907921510226526,0.02611740865362047,0.034827423838622036,0.04144237540051273,0.011962774174487422,0.024329255872722673,0.03183893460986121,0.13671548320572127,0.013469481323681793,0.012054695613744176,0.014030149954184034,0.030276311464893752,0.038200467114244865,0.014859739019844869,0.02788564843994425,0.016862462158603347,0.016930727907992084,0.04234849234610513,0.007088138500671492,0.03163895793473327,0.0005446797927206777,0.0009658067348175684,0.013487993284049461,0.0050146253351525324,0.01960439186857493,0.004758787230014173,0.05142676113503149,0.03189471193295805
S0005,Controle,47.088673943824766,42.40963615591603,0.018080920736444846,0.011104781099503983,0.022455624218159005,0.007751173891419852,0.022772683043147304,0.007540780198532696,0.013168780412864496,0.04850243741439743,0.024281493343458572,0.00999094004271563,0.025146707711675313,0.0030773603608066874,0.012100559621199564,0.011158412863767871,0.06293762881321704,0.006733838159610246,0.041328397553458976,0.013094084448526637,0.0008356189750575491,0.017525721885599897,0.008994110993438076,0.05316256887888177,0.022448525236850862,0.05117779599459839,0.015798420308821448,0.014996872092260959,0.011023018722983427,0.02507109217383324,0.016547402544719238,0.03612748098025403,0.033623731969835376,0.12030670375750892,0.01588687494840816,0.05088035651069016,0.01369644603802423,0.011212011906399774,0.016158360383497685,0.008179454203756141,0.003935013012498467,0.005231648154359478,0.0074112359091369675,0.008986264063863417,0.033027482753148686,0.017075354750176346,0.01945382891849131
S0006,Controle,487.811175818378,277.73085506888197,0.02421291669878488,0.006403489406024282,0.00993979599135606,0.017604399054495904,0.017012025303376335,0.022842499504960288,0.025585409268696575,0.008450672781018314,0.009244389188507585,0.0062618983817971305,0.0036623472276863245,0.01617368432272219,0.03248278414040575,0.018467685741577488,0.007085291975515308,0.08128476912927848,0.02087334131879663,0.010197131545284184,0.00125507050180549,0.015864475914960485,0.040533553988615675,0.026870362702633495,0.013748919170263033,0.04102243244441493,0.0041353579220124136,0.01823483833932922,0.0190178235920677,0.0317590241514841,0.023603285185269687,0.01590774718513987,0.005296413724473482,0.04221539840268016,0.021430339444382992,0.021299243669117084,0.025923306045178292,0.024350347471855476,0.01508530704473616,0.084419573833562,0.021168943780230865,0.011682548391928565,0.013942653439723436,0.03041063090535956,0.07903796106383267,0.010856645190962301,0.0031432655136971683
S0007,Controle,380.56985099517647,401.02989349286213,0.0623147594499405,0.010193057750367726,0.03525395434953967,0.004768728949538335,0.0057710990920372025,0.01482685680535857,0.012260509136884323,0.009502247276866964,0.008447027078574613,0.025747941813060223,0.015035751893763402,0.008208684113370363,0.05235725706385,0.0027050096411621195,0.04504134777252389,0.04075146443983184,0.002777294672201961,0.0014010680599278156,0.02966139635314962,0.0061970529563432145,0.011903007745517785,0.029911776316998175,0.011467179712662036,0.037318018430347766,0.03677315646650982,0.03556466781913575,0.024870759413395425,0.02485035852777372,0.01738958478943196,0.01372409191919635,0.012278080239705665,0.03400558983734677,0.020050346289647854,0.02622723919503739,0.02032739119200692,0.0017863955750842939,0.015657109884317868,0.0053996731700879635,0.05786618400030949,0.06638539105569499,0.016957127304081922,0.006756245808175741,0.06629621306066441,0.007028204294103758,0.005983699284473819
S0008,Controle,393.03215263847693,462.35083360994435,0.01744349883605056,0.006896715795129586,0.01975409986084992,0.018186447301043355,0.018542781533144034,0.008858481143404344,0.03324226506284029,0.007606860135632452,0.017458603143922724,0.0017177204257067095,0.0036472742631703794,0.008538662237496396,0.011357580228999152,0.009469750242166468,0.02101986482215044,0.021896670299081905,0.012511062588058414,0.00850815148231934,0.014343391204586482,0.03791803018501724,0.09014970786973599,0.024733956411279817,0.003832095203206919,0.020088884385918538,0.015071230809722839,0.014040424774117358,0.03276086310093303,0.03833406214141073,0.005992824788569933,0.005950088072700892,0.03629904051350581,0.03313927601725563,0.035546243492856046,0.04255039197568195,0.00769922005687593,0.00791846524469263,0.04755452896665736,0.1522276257009675,0.00893925797124981,0.0290405628843457,0.03181323344233652,0.006670155555841919,0.0022029606900264504,0.000730249023237372,0.007796740116102923
S0009,Controle,64.05681633777294,411.2915453087158,0.012557609589796324,0.020803341433296398,0.005536340776308704,0.001950577500513075,0.04627909865717187,0.008582175876802975,0.0011326527571853652,0.006759075581458714,0.07038732214543524,0.016902205698755612,0.009944417327318138,0.03830841930450128,0.024239247785933178,0.006339184463675698,0.007065211250424327,0.000981598313656968,0.023313449795631287,0.01599799884457538,0.005349429970207254,0.011758409003089415,0.016688966991045884,0.05358608685333149,0.06053896292287874,0.030656510476402617,0.0136047976870682,0.011782028254176992,0.007127004645058054,0.013390526014422165,0.01288299086625947,0.009033774673276016,0.0034684699953938807,0.03951016418227493,0.03540579385755784,0.042699370497308084,0.049564010056531334,0.08318244072759601,0.012238322459953873,0.08392744864269618,0.007926788869401038,0.017149872896991682,0.0030363309357488446,0.008401812380889322,0.019993995833831782,0.020855296745255315,0.00916046645891311
S0010,Seca,225.19296894778356,18.485363600587114,0.0036793757832372467,0.05348712838538643,0.04367220059158368,0.02302560360938183,0.022880603064120302,0.05229170761537364,0.02480383898504763,0.009544881371895665,0.03805370332816415,0.010643019891965897,0.004298096869568243,0.011926564642867036,0.02568183499766347,0.014689219321364197,0.007758169601056886,0.016008392642672696,0.04620674170941928,0.025163566151598135,0.04577785934025412,0.031353414321666634,0.004725849948430429,0.0449460367363907,0.021488310631610885,0.04295148679763077,0.005345330091846913,0.02795144791330069,0.027425418630411813,0.029919951221861182,0.010772360641939108,0.01084263833873912,0.026118035142849563,0.020627370288883128,0.012676654913978534,0.013454486600254561,0.01166529701390815,0.0366326779450389,0.011506132959176208,0.008166507681306346,0.03236261563325602,0.023255765862684203,0.009533080598100258,0.005459667229296308,0.01620900811159614,0.02422377536681694,0.010794171476405968
