sample_id,x,y,p_drought,classe_prevista,dose_bioinsumo_l_ha,composicao_inoculante
S0001,386.97802427798166,232.4867280968265,0.7913585651488204,Seca,40.0,Kribbella + Occallatibacter + Genus_004
S0002,219.43921987602616,488.9584895369201,0.22519188091389328,Controle,0.0,Nenhuma (dose zero)
S0003,429.2989599556912,205.78800109702993,0.8471254584392583,Seca,40.0,Kribbella + Occallatibacter + Genus_004
S0004,348.684014529682,396.8410752799863,0.9215707881514509,Seca,40.0,Kribbella + Occallatibacter + Genus_004
S0005,47.088673943824766,42.40963615591603,0.071894276811969,Controle,0.0,Nenhuma (dose zero)
S0006,487.811175818378,277.73085506888197,0.22088117362494217,Controle,0.0,Nenhuma (dose zero)
S0007,380.56985099517647,401.02989349286213,0.06271984140709495,Controle,0.0,Nenhuma (dose zero)
S0008,393.03215263847693,462.35083360994435,0.13141147402686454,Controle,0.0,Nenhuma (dose zero)
S0009,64.05681633777294,411.2915453087158,0.21656458902841005,Controle,0.0,Nenhuma (dose zero)
S0010,225.19296894778356,18.485363600587114,0.723423651317614,Seca,37.3423651317614,Kribbella + Occallatibacter + Genus_004
S0011,185.3990121162906,186.3511706533671,0.06545236006217867,Controle,0.0,Nenhuma (dose zero)
S0012,463.3824944243009,24.349236156925635,0.8904682738801659,Seca,40.0,Kribbella + Occallatibacter + Genus_004
S0013,321.93256004033225,54.641145557279,0.8810401094586156,Seca,40.0,Kribbella + Occallatibacter + Genus_004
S0014,411.380806635415,337.65281433374207,0.9352750876388157,Seca,40.0,Kribbella + Occallatibacter + Genus_004
S0015,221.70709941366556,356.6290981558491,0.03484314291232653,Controle,0.0,Nenhuma (dose zero)
S0016,113.61936089238844,386.86034137581316,0.8148128081050114,Seca,40.0,Kribbella + Occallatibacter + Genus_004
S0017,277.2923935079174,432.72827402783145,0.8100735386457582,Seca,40.0,Kribbella + Occallatibacter + Genus_004
S0018,31.90862805208766,369.7157342382549,0.1397401445065053,Controle,0.0,Nenhuma (dose zero)
S0019,413.815585996291,400.43579605331604,0.7667229278710228,Seca,40.0,Kribbella + Occallatibacter + Genus_004
S0020,315.83219956103244,24.481854911639623,0.9038917423133781,Seca,40.0,Kribbella + Occallatibacter + Genus_004
S0021,379.04387004268693,117.26757522064929,0.22226728114214636,Controle,0.0,Nenhuma (dose zero)
S0022,177.2629840649342,310.94888668762286,0.49227116981681507,Seca,14.227116981681508,Kribbella + Occallatibacter + Genus_004
S0023,485.34901219745166,429.06265231241156,0.6529895206748927,Seca,30.29895206748927,Kribbella + Occallatibacter + Genus_004
S0024,446.56056066109886,2.2500624698295613,0.7659723426132617,Seca,40.0,Kribbella + Occallatibacter + Genus_004
S0025,389.19174853688094,257.3146710581749,0.8266369600449499,Seca,40.0,Kribbella + Occallatibacter + Genus_004
S0026,97.31935392598379,338.6436996821986,0.2061321056003656,Controle,0.0,Nenhuma (dose zero)
S0027,233.3605018635171,14.803644564306605,0.07420001774782513,Controle,0.0,Nenhuma (dose zero)
S0028,21.90188289361439,200.67777877669397,0.1220955183435115,Controle,0.0,Nenhuma (dose zero)
S0029,77.14474603377391,447.81744069184845,0.9235332023536487,Seca,40.0,Kribbella + Occallatibacter + Genus_004
S0030,341.52447662122734,335.80640442792935,0.8290581153855476,Seca,40.0,Kribbella + Occallatibacter + Genus_004
S0031,372.3810779539086,118.82918168029866,0.7456126690140183,Seca,39.56126690140184,Kribbella + Occallatibacter + Genus_004
S0032,483.754866217105,426.39056481595634,0.8099870464577654,Seca,40.0,Kribbella + Occallatibacter + Genus_004
S0033,162.91267906907598,174.01571170475717,0.7641086889101055,Seca,40.0,Kribbella + Occallatibacter + Genus_004
S0034,185.22985301743444,426.67233557202974,0.17046416349947222,Controle,0.0,Nenhuma (dose zero)
S0035,234.77790563790396,149.47182555945275,0.43919938426984745,Seca,8.919938426984746,Kribbella + Occallatibacter + Genus_004
S0036,94.73567954214285,295.1601254415745,0.07710622267456389,Controle,0.0,Nenhuma (dose zero)
S0037,64.96075266773582,198.47003387391703,0.06979358878563591,Controle,0.0,Nenhuma (dose zero)
S0038,237.85246311296686,137.4125253775335,0.19645616668952948,Controle,0.0,Nenhuma (dose zero)
S0039,113.45467452544206,443.2787810859346,0.31698050479421114,Controle,0.0,Nenhuma (dose zero)
S0040,334.9069973412552,93.79684096974566,0.5436026083385034,Seca,19.36026083385034,Kribbella + Occallatibacter + Genus_004
S0041,218.57595943616536,42.405795617881545,0.8839586156399722,Seca,40.0,Kribbella + Occallatibacter + Genus_004
S0042,416.3390980289187,170.9634692728302,0.555970913660698,Seca,20.597091366069797,Kribbella + Occallatibacter + Genus_004
